ID,County,Income_Avg,Rent_Median,Population
36005000200,Bronx,75015,1282,5095
36005000400,Bronx,82734,1491,5572
36005001600,Bronx,48959,920,5412
36005001900,Bronx,43615,1126,2569
36005002000,Bronx,37102,601,8959
36005002300,Bronx,22840,398,4860
36005002500,Bronx,27588,585,5143
36005002701,Bronx,25649,630,3172
36005002702,Bronx,27016,977,4683
36005002800,Bronx,60200,951,5746
36005003100,Bronx,51424,1014,1538
36005003300,Bronx,26619,479,3852
36005003500,Bronx,29571,773,3753
36005003700,Bronx,20484,872,199
36005003800,Bronx,65599,1056,1303
36005003900,Bronx,43800,930,6580
36005004001,Bronx,67630,970,1550
36005004100,Bronx,32402,601,6483
36005004200,Bronx,32506,737,7599
36005004300,Bronx,34288,766,5841
36005004400,Bronx,34327,448,4830
36005004600,Bronx,49636,744,1659
36005004800,Bronx,34844,1011,4024
36005005001,Bronx,43009,1236,5040
36005005002,Bronx,40508,1098,5791
36005005100,Bronx,29000,494,5814
36005005200,Bronx,41521,555,2128
36005005300,Bronx,23193,785,3305
36005005400,Bronx,49125,1164,6334
36005005600,Bronx,37601,1002,2391
36005005902,Bronx,48306,1135,2856
36005006000,Bronx,53265,1081,1192
36005006100,Bronx,53014,952,4007
36005006200,Bronx,34114,545,7682
36005006300,Bronx,42773,1120,4480
36005006400,Bronx,44298,1222,3565
36005006500,Bronx,28832,962,5847
36005006700,Bronx,30919,712,7782
36005006800,Bronx,44064,1163,2976
36005006900,Bronx,35001,712,7769
36005007000,Bronx,44886,1351,4646
36005007100,Bronx,49882,993,2358
36005007200,Bronx,55634,1170,5981
36005007300,Bronx,30302,892,3735
36005007400,Bronx,55143,1156,3724
36005007500,Bronx,32429,697,4932
36005007600,Bronx,57104,1285,5853
36005007700,Bronx,41020,1160,1904
36005007800,Bronx,45122,1232,6868
36005007900,Bronx,31569,697,6099
36005008300,Bronx,30884,792,5974
36005008400,Bronx,74134,1454,2447
36005008500,Bronx,39263,970,6324
36005008600,Bronx,32139,430,3916
36005008700,Bronx,40211,967,6406
36005008900,Bronx,27722,764,3540
36005009000,Bronx,54100,480,3824
36005009200,Bronx,54099,1263,5397
36005009300,Bronx,36278,1060,6265
36005009600,Bronx,49543,1449,2557
36005009800,Bronx,66147,1363,4922
36005011000,Bronx,54576,1051,205
36005011502,Bronx,29644,896,4446
36005011700,Bronx,38531,986,1512
36005011800,Bronx,92884,1308,5328
36005011900,Bronx,38564,958,5570
36005012101,Bronx,37373,1006,3014
36005012102,Bronx,23972,572,1485
36005012300,Bronx,30575,631,4144
36005012500,Bronx,41696,1140,4139
36005012701,Bronx,28850,625,2117
36005012901,Bronx,26792,938,3828
36005013000,Bronx,89412,1327,1334
36005013100,Bronx,40464,899,4906
36005013200,Bronx,95785,1373,7150
36005013300,Bronx,39436,617,7067
36005013500,Bronx,35049,545,3957
36005013800,Bronx,89148,1370,3301
36005014100,Bronx,54680,1025,4620
36005014300,Bronx,21120,423,942
36005014400,Bronx,38574,537,6062
36005014500,Bronx,27048,793,6757
