"Id","Id2","state","total population","total male","total female","percentage under 5 years","percentage 5 to 9 years","percentage 10 to 14 years","percentage 15 to 19 years","percentage 20 to 24 years","percentage 25 to 29 years","percentage 30 to 34 years","percentage 35 to 39 years","percentage 40 to 44 years","percentage 45 to 49 years","percentage 50 to 54 years","percentage 55 to 59 years","perenctage 60 to 64 years","percentage 65 to 69 years","percentage 70 to 74 years","percentage 75 to 79 years","percentage 80 to 84 years","percentage 85 years and over","median_age"
"0400000US01",1,"Alabama",4817678,2336020,2481658,6.2,6.3,6.7,6.8,7.2,6.5,6.3,6.1,6.6,6.8,7.2,6.7,6.1,4.8,3.5,2.7,1.9,1.7,38.2
"0400000US02",2,"Alaska",728300,380119,348181,7.5,7,7.1,7,8.2,8.1,7.1,6.2,6.5,6.8,7.5,7,5.5,3.4,2.3,1.3,0.9,0.7,33.4
"0400000US04",4,"Arizona",6561516,3258791,3302725,6.7,6.9,6.9,6.9,7.2,6.7,6.6,6.2,6.4,6.3,6.5,6,5.6,4.8,3.7,2.7,1.9,1.7,36.5
"0400000US05",5,"Arkansas",2947036,1447235,1499801,6.6,6.8,6.7,6.8,7,6.5,6.4,6.2,6.3,6.6,6.9,6.4,5.9,4.8,3.7,2.7,2,1.8,37.6
"0400000US06",6,"California",38066920,18911519,19155401,6.6,6.6,6.7,7.1,7.6,7.4,7.1,6.7,6.9,6.9,6.9,6.1,5.2,3.9,2.8,2.1,1.6,1.7,35.6
"0400000US08",8,"Colorado",5197580,2608270,2589310,6.5,6.8,6.6,6.6,7.1,7.4,7.3,6.8,6.8,6.8,7.2,6.6,5.7,4.1,2.8,2,1.4,1.4,36.2
"0400000US09",9,"Connecticut",3592053,1750621,1841432,5.4,6.1,6.5,7.1,6.5,6.1,5.9,5.9,6.9,7.7,8,7.1,6,4.6,3.2,2.5,2,2.4,40.3
"0400000US10",10,"Delaware",917060,443923,473137,6.1,6.3,6.1,6.7,7.1,6.6,6.2,6,6.2,7.1,7.3,6.8,6.1,5.1,3.8,2.7,1.9,1.9,39.1
"0400000US11",11,"District of Columbia",633736,300030,333706,6.1,4.6,3.8,6.1,9.5,11.9,10.2,7.4,6.4,6,6,5.6,5.1,3.6,2.7,2,1.4,1.6,33.7
"0400000US12",12,"Florida",19361792,9464651,9897141,5.6,5.7,5.9,6.2,6.7,6.4,6.1,6,6.5,7,7.2,6.6,6.1,5.5,4.3,3.3,2.6,2.5,41.2
"0400000US13",13,"Georgia",9907756,4837995,5069761,6.8,7.1,7.1,7.2,7.2,6.8,6.8,6.8,7.2,7.1,7,6.1,5.3,4.1,2.8,2,1.4,1.2,35.8
"0400000US15",15,"Hawaii",1392704,701406,691298,6.5,6,6,5.9,7.3,7.5,6.9,6.1,6.4,6.5,6.8,6.6,6.2,4.9,3.3,2.4,2.1,2.5,38.2
"0400000US16",16,"Idaho",1599464,801678,797786,7.3,7.5,7.6,7.1,6.9,6.6,6.6,6,6.2,6.1,6.6,6.2,5.8,4.5,3.3,2.3,1.7,1.6,35.2
"0400000US17",17,"Illinois",12868747,6313324,6555423,6.3,6.6,6.7,6.9,6.9,7,6.9,6.5,6.7,6.9,7.2,6.6,5.6,4.1,3.1,2.3,1.8,1.9,37
