name,address,lat,lng,id,place_id,price_level
Subway,"1256 Lexington Avenue, New York",40.778683,-73.9563837,357d383cd66fd3368bdd630fda605d5a66855141,ChIJiVXw_rxYwokRhqtJQJhLuYg,1
Mimi's Pizza & Restaurant,"1248 Lexington Avenue # 4, New York",40.778433,-73.95662,200a0e78d4afb21c040cdf002bb4583229951478,ChIJKQCyVLxYwokRRx5xaam2bB4,1
Carlow East,"1254 Lexington Avenue, New York",40.7786329,-73.9564124,56c250618355e3ba50a396a3daa65ad74c12bfb9,ChIJeen__rxYwokRsvHolLTy530,1
Dunkin' Donuts,"1248 Lexington Avenue Ste 6, New York",40.7785032,-73.9565052,ba08db0fe7ea3e3e2514a4d5d0608e9427ecc2c9,ChIJh5sK_7xYwokREu88vfx2JSw,1
Petite Shell,"1269 Lexington Avenue, New York",40.779009,-73.9556852,781941356e9aec722f7aad62f30fe2e0f393063f,ChIJPdvZ77xYwokRDhpxTKUDFKg,1
Panera Bread,"120 East 86th Street, New York",40.7795402,-73.9563988,1caa91d625c7a720958ef8aae8aed88f5cd0a172,ChIJL3QW3rxYwokRL3MznZgFOfw,1
Shake Shack,"154 East 86th Street, New York",40.778956,-73.955017,2a5613d74e0e17d982b3e3ac6696110e78d8ee95,ChIJE1mdlLxYwokRhrdJXmG9Y_8,1
Chipotle Mexican Grill,"1497 3rd Avenue, New York",40.7777046,-73.9544629,10d34a921dd51232b8a639727aae9fdc1eb0c1ce,ChIJC6qVZbxYwokR6Tcpbfpvb5g,1
Calista Superfoods,"1217 Lexington Avenue, New York",40.7770504,-73.957169,7c1564ded6bc36c5acfc4cd9412970b00a8f2308,ChIJNR-FyL1YwokR-SVlXeW4lC4,1
Wrap-N-Run Grill,"1125 Lexington Avenue, New York",40.774389,-73.9590999,1bada4e503d61afaf3134c0170e0c5317e71bd57,ChIJRdfQLr5YwokRIpvE6K6ukdY,1
mamagyro,"1113 Lexington Avenue, New York",40.7739372,-73.9594617,792f2754120e95d856f8095da92fda16fad3f89c,ChIJyw5E1b9YwokRDIpfV6Pc2CM,1
Pick A Bagel,"1101 Lexington Avenue, New York",40.7736677,-73.9596338,84d69ea7bca2ac7c44f36a9ad4ace34174e859f0,ChIJaQDlfZVYwokRTgsPySQerqU,1
Dos Toros Taqueria,"1111 Lexington Avenue, New York",40.7738885,-73.9595015,c72fe08bfcb7d9083541f5d042634258e44d5a6c,ChIJ8Xzmf5VYwokRjMelhHupAmc,1
Bar Pleiades,"20 East 76th Street, New York",40.7743554,-73.9638934,408409a60baa66ae5714fb10de1edeec0aa52047,ChIJCcAxi5RYwokRxXGqEwkAUU8,1
Lexington Candy Shop,"1226 Lexington Avenue, New York",40.7774752,-73.9572903,f6f78cf405f178e157b554541fb3b124b0e5b603,ChIJ-1GYt71YwokRhPeAgDwgVF4,1
Subway,"1205 Lexington Avenue, New York",40.7766696,-73.9574136,80495d02745d038a3d0e4bcfd48ba1e1f1324b35,ChIJiVXw_rxYwokRFyYSJxXo_UI,1
BURGERFI,"1571 2nd Avenue, New York",40.7751299,-73.9541133,5bfb3cf94dda049bbea8a0dc0c0dc8dbb668408c,ChIJaZbdrb5YwokRnUHobNXU9kc,1
PICK-A-BAGEL,"1475 2nd Avenue, New York",40.771879,-73.9563764,c232164fb2eb6116e9f025a1f79d27fab54d3ea0,ChIJ59aSdr9YwokRMEgy7blTM6o,1
Lenwich by Lenny's,"1481 2nd Avenue, New York",40.7722325,-73.9561755,4c710710ad10ff0e01fca3f6484dabd11a8692cc,ChIJf2g4c79YwokRJDnOAJ_7whw,1
The Penrose,"1590 2nd Avenue, New York",40.775465,-73.9531793,246e6edb7b242d4f5d121c59670255962764f328,ChIJE1SK5LtYwokRH1APiOrZNq0,1
Meijin Ramen,"1574 2nd Avenue, New York",40.7750295,-73.9535487,dccbdc8b2d5c79a39d39a3affeea0c1aa1ebf0e6,ChIJx1q8UrlYwokRjOmzO2_-otA,1
Lexington Bar And Books,"1020 Lexington Avenue, New York",40.7710436,-73.9619809,88795cb8adf2b21bd186e204ab28f6607d9e4b59,ChIJ5WvK2-pYwokR50z87zfR0NA,1
Maison Kayser,"1294 3rd Avenue, New York",40.7713439,-73.9597664,e64bc942669855df7b2bff429d4ff9e50046e73b,ChIJCTLtSvZYwokRJN_rT9akjKQ,1
